City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
219,cullman,34.1748,-86.8436,17.3,100,75,2.57,US,1681441022
220,cap malheureux,-19.9842,57.6142,24.7,89,1,0.99,MU,1681441144
221,kysyl-syr,63.8986,122.7617,-2.04,87,31,1.8,RU,1681441144
222,clyde river,70.4692,-68.5914,-16.87,71,0,5.66,CA,1681441144
223,gonen,40.1049,27.654,8.83,63,58,3.62,TR,1681441145
224,mayo,38.8876,-76.5119,22.23,69,0,2.57,US,1681441145
225,marsabit,2.3284,37.9899,17.91,88,100,4.39,KE,1681441145
226,gold coast,-28.0,153.4333,28.83,65,40,5.66,AU,1681441146
227,hamilton,39.1834,-84.5333,19.49,52,0,0.0,US,1681440785
228,pilar,-9.5972,-35.9567,21.96,84,99,0.84,BR,1681441146
229,ceres,37.5949,-120.9577,17.97,22,0,5.14,US,1681441071
230,geraldton,-28.7667,114.6,21.23,35,40,11.32,AU,1681441146
231,khammam,17.25,80.15,32.62,31,100,3.14,IN,1681441146
232,salalah,17.0151,54.0924,26.48,75,1,0.7,OM,1681441147
233,gigmoto,13.7796,124.39,29.86,69,14,4.11,PH,1681441147
234,vilhena,-12.7406,-60.1458,20.52,96,98,1.07,BR,1681441147
235,araguaina,-7.1911,-48.2072,23.77,84,100,1.39,BR,1681441147
236,soyo,-6.1349,12.3689,26.43,78,72,2.2,AO,1681441147
237,huilong,31.8111,121.655,20.52,76,100,4.44,CN,1681441148
238,sao felix do xingu,-6.6447,-51.995,21.91,98,55,0.26,BR,1681441148
239,kanniyakumari,8.0833,77.5667,29.08,67,78,1.85,IN,1681441148
240,poya,-21.35,165.15,23.45,94,100,2.3,NC,1681441148
241,malanje,-9.5402,16.341,16.88,98,15,1.24,AO,1681441149
242,mangan,27.5167,88.5333,26.58,28,24,2.13,IN,1681441149
243,ndele,8.4109,20.6473,23.05,77,100,2.55,CF,1681441149
244,wagar,16.1525,36.2032,22.55,55,68,4.13,SD,1681441150
245,hambantota,6.1241,81.1185,27.19,100,20,2.06,LK,1681441150
246,kavieng,-2.5744,150.7967,28.57,78,45,7.22,PG,1681441151
247,fairbanks,64.8378,-147.7164,-2.44,54,75,4.12,US,1681441132
248,pueblo nuevo,23.3833,-105.3833,9.27,53,32,1.08,MX,1681441151
249,port hawkesbury,45.6169,-61.3485,10.51,63,100,4.63,CA,1681440958
250,bako,5.7833,36.5667,16.33,84,62,1.64,ET,1681441152
251,shuiji,27.4214,118.345,26.77,72,73,1.53,CN,1681441152
252,alexandria,31.2156,29.9553,12.3,81,5,2.66,EG,1681440958
253,terrak,65.087,12.3715,5.93,70,91,7.32,NO,1681441153
254,saint-pierre,-21.3393,55.4781,24.82,73,0,2.57,RE,1681440883
255,ko samui,9.5357,99.9357,31.95,70,20,2.06,TH,1681441153
256,katsuura,35.1333,140.3,18.38,71,100,8.41,JP,1681441017
257,makakilo city,21.3469,-158.0858,27.18,60,40,8.23,US,1681441154
258,korla,41.7597,86.1469,14.36,28,66,3.46,CN,1681441154
259,dingle,10.9995,122.6711,32.03,55,39,2.44,PH,1681441154
260,inhambane,-23.865,35.3833,22.23,87,0,3.94,MZ,1681441155
261,lebu,-37.6167,-73.65,12.93,95,90,0.2,CL,1681440990
262,yumen,40.2833,97.2,12.94,23,41,9.2,CN,1681440927
263,laredo,27.5064,-99.5075,26.16,44,0,6.69,US,1681441155
264,surgana,20.5667,73.6167,29.79,27,91,1.52,IN,1681441156
265,vostok,46.4856,135.8833,1.54,65,100,4.54,RU,1681441156
266,lagoa,39.05,-27.9833,15.96,84,66,4.59,PT,1681441156
267,yeppoon,-23.1333,150.7333,28.88,37,0,3.34,AU,1681441156
268,kaitangata,-46.2817,169.8464,16.07,73,48,6.19,NZ,1681441052
269,shihezi,44.3,86.0333,14.52,30,96,4.42,CN,1681441157
270,cherdyn,60.403,56.4787,-9.62,71,66,3.51,RU,1681441157
271,berdigestyakh,62.0989,126.6992,-1.35,90,89,2.39,RU,1681441157
272,hailey,43.5196,-114.3153,0.92,68,0,1.79,US,1681441158
273,gidrotorf,56.4744,43.5414,-1.01,57,36,7.73,RU,1681441158
274,martapura,-3.4167,114.85,30.05,74,40,1.54,ID,1681441158
275,matagami,49.7502,-77.6328,0.06,80,100,5.14,CA,1681440918
276,ahipara,-35.1667,173.1667,21.75,70,100,5.12,NZ,1681441158
277,jalingo,8.8833,11.3667,26.12,22,61,1.3,NG,1681441159
278,palencia,42.4167,-4.5,7.73,80,100,6.95,ES,1681441144
279,esperance,-33.8667,121.9,14.65,64,69,14.05,AU,1681441019
280,abilene,32.4487,-99.7331,24.12,35,0,6.69,US,1681441054
